player,total_runs,balls_faced,times_out,matches_played,batting_average,strike_rate,fours,sixes,runs_conceded,wickets,balls_bowled,matches_bowled,economy_rate,bowling_average,bowling_strike_rate,role,total_matches
B Chipli,280.0,256.0,16.0,21.0,17.5,109.38,28.0,7.0,20.0,0.0,6.0,1.0,20.0,0.0,0.0,Batsman,21.0
A Ashish Reddy,280.0,196.0,15.0,23.0,18.67,142.86,16.0,15.0,400.0,19.0,270.0,20.0,8.89,21.05,14.21,All-rounder,23.0
R Sathish,270.0,236.0,16.0,24.0,16.88,114.41,22.0,6.0,233.0,6.0,144.0,14.0,9.71,38.83,24.0,All-rounder,24.0
JO Holder,259.0,217.0,21.0,27.0,12.33,119.35,13.0,18.0,1489.0,59.0,1049.0,46.0,8.52,25.24,17.78,All-rounder,46.0
M Kaif,259.0,258.0,16.0,22.0,16.19,100.39,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,22.0
HV Patel,249.0,214.0,26.0,37.0,9.58,116.36,16.0,15.0,3215.0,151.0,2284.0,103.0,8.45,21.29,15.13,All-rounder,103.0
K Gowtham,247.0,159.0,18.0,27.0,13.72,155.35,15.0,17.0,825.0,22.0,599.0,35.0,8.26,37.5,27.23,All-rounder,35.0
Harpreet Brar,233.0,201.0,12.0,24.0,19.42,115.92,19.0,9.0,907.0,25.0,692.0,39.0,7.86,36.28,27.68,All-rounder,39.0
Mohammad Nabi,221.0,157.0,17.0,19.0,13.0,140.76,18.0,12.0,527.0,15.0,419.0,23.0,7.55,35.13,27.93,All-rounder,23.0
R Dhawan,210.0,188.0,10.0,22.0,21.0,111.7,18.0,7.0,922.0,27.0,693.0,36.0,7.98,34.15,25.67,All-rounder,36.0
UT Yadav,208.0,211.0,21.0,48.0,9.9,98.58,16.0,9.0,4442.0,163.0,3190.0,147.0,8.35,27.25,19.57,All-rounder,147.0
K Rabada,206.0,207.0,16.0,28.0,12.88,99.52,16.0,8.0,2652.0,126.0,1907.0,80.0,8.34,21.05,15.13,All-rounder,80.0
JC Archer,199.0,132.0,13.0,23.0,15.31,150.76,11.0,14.0,1210.0,49.0,987.0,40.0,7.36,24.69,20.14,All-rounder,40.0
SK Warne,198.0,219.0,19.0,27.0,10.42,90.41,14.0,6.0,1465.0,60.0,1223.0,54.0,7.19,24.42,20.38,All-rounder,54.0
JD Unadkat,197.0,170.0,14.0,27.0,14.07,115.88,16.0,7.0,3219.0,109.0,2194.0,104.0,8.8,29.53,20.13,All-rounder,104.0
Bipul Sharma,187.0,124.0,6.0,17.0,31.17,150.81,11.0,9.0,581.0,22.0,436.0,28.0,8.0,26.41,19.82,All-rounder,28.0
Kuldeep Yadav,183.0,224.0,10.0,32.0,18.3,81.7,16.0,3.0,2413.0,90.0,1786.0,82.0,8.11,26.81,19.84,All-rounder,82.0
S Gopal,180.0,173.0,13.0,22.0,13.85,104.05,19.0,2.0,1358.0,53.0,1000.0,51.0,8.15,25.62,18.87,All-rounder,51.0
AB Agarkar,179.0,160.0,8.0,18.0,22.38,111.87,13.0,5.0,1174.0,33.0,820.0,42.0,8.59,35.58,24.85,All-rounder,42.0
MF Maharoof,177.0,124.0,10.0,14.0,17.7,142.74,12.0,9.0,532.0,33.0,441.0,20.0,7.24,16.12,13.36,All-rounder,20.0
MG Johnson,167.0,168.0,14.0,28.0,11.93,99.4,10.0,7.0,1740.0,66.0,1301.0,54.0,8.02,26.36,19.71,All-rounder,54.0
DW Steyn,167.0,163.0,22.0,33.0,7.59,102.45,14.0,3.0,2583.0,105.0,2282.0,95.0,6.79,24.6,21.73,All-rounder,95.0
RE van der Merwe,159.0,144.0,12.0,15.0,13.25,110.42,11.0,8.0,515.0,25.0,455.0,21.0,6.79,20.6,18.2,All-rounder,21.0
RD Chahar,129.0,127.0,16.0,22.0,8.06,101.57,13.0,5.0,2165.0,76.0,1697.0,77.0,7.65,28.49,22.33,All-rounder,77.0
M Morkel,126.0,93.0,11.0,20.0,11.45,135.48,11.0,5.0,2136.0,88.0,1699.0,70.0,7.54,24.27,19.31,All-rounder,70.0
MM Sharma,124.0,137.0,16.0,28.0,7.75,90.51,9.0,4.0,3278.0,147.0,2308.0,111.0,8.52,22.3,15.7,All-rounder,111.0
B Lee,124.0,102.0,10.0,19.0,12.4,121.57,8.0,8.0,1126.0,30.0,916.0,38.0,7.38,37.53,30.53,All-rounder,38.0
DL Vettori,121.0,118.0,7.0,16.0,17.29,102.54,11.0,2.0,894.0,34.0,785.0,34.0,6.83,26.29,23.09,All-rounder,34.0
TG Southee,120.0,108.0,11.0,19.0,10.91,111.11,8.0,4.0,1774.0,57.0,1262.0,54.0,8.43,31.12,22.14,All-rounder,54.0
RJ Harris,117.0,112.0,12.0,21.0,9.75,104.46,6.0,3.0,1085.0,47.0,865.0,37.0,7.53,23.09,18.4,All-rounder,37.0
Z Khan,117.0,141.0,15.0,27.0,7.8,82.98,11.0,2.0,2860.0,119.0,2276.0,99.0,7.54,24.03,19.13,All-rounder,99.0
KK Cooper,116.0,70.0,9.0,12.0,12.89,165.71,9.0,8.0,789.0,36.0,600.0,25.0,7.89,21.92,16.67,All-rounder,25.0
M Kartik,113.0,109.0,7.0,14.0,16.14,103.67,7.0,1.0,1418.0,39.0,1182.0,55.0,7.2,36.36,30.31,All-rounder,55.0
Mohammed Siraj,109.0,122.0,10.0,20.0,10.9,89.34,10.0,4.0,2894.0,96.0,2081.0,93.0,8.34,30.15,21.68,All-rounder,93.0
MA Starc,105.0,109.0,8.0,16.0,13.12,96.33,11.0,0.0,1175.0,59.0,879.0,39.0,8.02,19.92,14.9,All-rounder,39.0
DS Kulkarni,104.0,113.0,9.0,20.0,11.56,92.04,7.0,2.0,2513.0,91.0,1876.0,92.0,8.04,27.62,20.62,All-rounder,92.0
MS Gony,99.0,76.0,9.0,15.0,11.0,130.26,6.0,8.0,1317.0,39.0,925.0,44.0,8.54,33.77,23.72,All-rounder,44.0
