player,total_runs,balls_faced,times_out,matches_played,batting_average,strike_rate,fours,sixes,runs_conceded,wickets,balls_bowled,matches_bowled,economy_rate,bowling_average,bowling_strike_rate,role,total_matches
BB Sran,10.0,14.0,1.0,7.0,10.0,71.43,0.0,0.0,767.0,20.0,516.0,24.0,8.92,38.35,25.8,Bowler,24.0
Mukesh Kumar,10.0,20.0,1.0,5.0,10.0,50.0,0.0,0.0,707.0,31.0,420.0,20.0,10.1,22.81,13.55,Bowler,20.0
M Prasidh Krishna,9.0,24.0,2.0,7.0,4.5,37.5,0.0,0.0,1741.0,54.0,1231.0,51.0,8.49,32.24,22.8,Bowler,51.0
VG Arora,9.0,17.0,2.0,7.0,4.5,52.94,0.0,0.0,598.0,20.0,418.0,20.0,8.58,29.9,20.9,Bowler,20.0
M Theekshana,7.0,7.0,1.0,2.0,7.0,100.0,0.0,1.0,814.0,25.0,631.0,27.0,7.74,32.56,25.24,Bowler,27.0
P Awana,5.0,14.0,3.0,5.0,1.67,35.71,0.0,0.0,1046.0,43.0,774.0,33.0,8.11,24.33,18.0,Bowler,33.0
DP Nannes,4.0,13.0,1.0,2.0,4.0,30.77,0.0,0.0,815.0,38.0,689.0,29.0,7.1,21.45,18.13,Bowler,29.0
T Natarajan,3.0,5.0,0.0,2.0,3.0,60.0,0.0,0.0,2001.0,76.0,1401.0,61.0,8.57,26.33,18.43,Bowler,61.0
A Singh,2.0,10.0,4.0,5.0,0.5,20.0,0.0,0.0,639.0,31.0,486.0,23.0,7.89,20.61,15.68,Bowler,23.0
KK Ahmed,1.0,7.0,5.0,5.0,0.2,14.29,0.0,0.0,1918.0,78.0,1345.0,57.0,8.56,24.59,17.24,Bowler,57.0
M Pathirana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,38.0,503.0,20.0,7.36,16.24,13.24,Bowler,20.0
IC Pandey,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,609.0,19.0,469.0,24.0,7.79,32.05,24.68,Bowler,24.0
Yash Dayal,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,933.0,31.0,615.0,28.0,9.1,30.1,19.84,Bowler,28.0
